"pmid","label","txt"
"11",25316453,0,"a novel mkrn3 missense mutation causing familial precocious puberty </s> </s> central precocious puberty may be familial in about a quarter of the idiopathic cases </s> however little is known about the genetic causes responsible for the disorder </s> in this report we describe a family with central precocious puberty associated with a mutation in the makorin ring finger protein 3 mkrn3 gene </s> a novel missense mutation ph420q in the imprinted mkrn3 gene was identified in the four affected siblings in their unaffected father and in his affected mother </s> an in silico mutant mkrn3 model predicts that the mutation ph420q leads to reduced zinc binding and subsequently impaired rna binding </s> these findings support the fundamental role of the mkrn3 protein in determining pubertal timing </s>"
"12",24673965,1,"low dose splenic irradiation in symptomatic congestive splenomegaly report of five cases with literature data </s> </s> background to show effectiveness of low dose splenic irradiation in symptomatic congestive splenomegaly </s> methods five patients were referred to our department for symptomatic congestive splenomegaly within three years </s> primary diseases were autoimmune hepatitis with liver cirrhosis n 2 cystic fibrosis n 1 granulomatous liver disease n 1 and werlhof disease with liver cirrhosis n 1 </s> mean age was 54 years range 36 67 </s> patients received splenic irradiation with a total dose of 3 gy single dose gy </s> one patient was re irradiated after long term failure with the same treatment schedule </s> results in four patients long term relief of splenic pain could be observed during the follow up time of median 20 range 2 36 months </s> four patients showed haematological response after irradiation with an increase of erythrocytes leucocytes and or platelets </s> a slightly decrease in spleen size was found in two patients </s> conclusions low dose splenic irradiation in symptomatic congestive splenomegaly is feasible and perhaps as effective as in lympho and myeloproliferative malignancies regarding pain relief and haematological response </s>"
"13",25618133,0,"noncompaction cardiomyopathy a substrate for a thromboembolic event </s> </s> background noncompaction cardiomyopathy ncc is a rare genetic cardiomyopathy characterized by a thin compacted epicardial layer and an extensive noncompacted endocardial layer </s> the clinical manifestations of this disease include ventricular arrhythmia heart failure and systemic thromboembolism </s> case presentation a 43 year old male was anticoagulated by pulmonary thromboembolism for 1 year when he developed progressive dyspnea </s> cardiovascular magnetic resonance imaging showed severe biventricular trabeculation with an ejection fraction of 15 ratio of maximum noncompacted compacted diastolic myocardial thickness of and the presence of exuberant biventricular apical thrombus </s> conclusion still under discussion is the issue of which patients and when they should be anticoagulated </s> it is generally recommended to those presenting ventricular systolic dysfunction antecedent of systemic embolism presence of cardiac thrombus and atrial fibrillation </s> in clinical practice the patients with ncc and ventricular dysfunction have been given oral anticoagulation although there are no clinical trials showing the real safety and benefit of this treatment </s>"
"14",26096435,0,"new observations of intraoperative dermoscopic features of the nail matrix and bed in longitudinal melanonychia </s> </s> background in recent years the following four patterns have been defined in intraoperative dermoscopy of the nail matrix and bed in longitudinal melanonychia lm i a regular gray pattern ii a regular brown pattern iii a regular brown pattern with globules or blotches and iv an irregular pattern </s> histopathological findings in these patterns are respectively i melanocyte activation ii mostly melanocytic hyperplasia melanocytic activation and melanoma can also be seen iii only melanocytic nevi and iv only melanoma </s> objective this study was conducted to compare these patterns with intraoperative dermoscopic findings in another series of five patients with lm </s> methods nail plate dermoscopy intraoperative nail matrix and bed dermoscopy and histopathological examinations in five patients with lm were retrospectively reviewed </s> results intraoperative dermoscopy of the nail bed and matrix in patients in whom nail plate dermoscopy demonstrated regular brown lines showed a regular brown pattern with globules in two cases only globules in one case and a regular gray pattern in one case </s> an irregular pattern with globules and blotches was observed in one patient who exhibited irregular brown lines in nail plate dermoscopy </s> histopathological examinations showed only hypermelanosis in one case with a regular gray pattern hypermelanosis and melanophages in cases with a regular brown pattern with globules blue nevus in one case with an irregular brown pattern with globules and blotches and only melanophages in one case with globules only </s> conclusions histopathological findings that differ from the patterns previously reported were found </s> an irregular pattern may also be seen in benign melanocytic nevi such as subungual blue nevus </s> a globular pattern may be defined as a new pattern corresponding to melanophages only </s> additional dermoscopic and histopathological images should be shared to facilitate the development of further understanding and the standardization of the intraoperative dermoscopy of lm </s>"
"15",26852764,1,"plesiomonas shigelloides an extremely rare cause of spontaneous bacterial peritonitis </s> </s> plesiomonas shigelloides a rare cause of gastroenteritis in humans is a gram negative rod belonging to the enterobacteriaceae family </s> in addition it has also been implicated in extra intestinal infection but prevalence data on such infections have been limited to case reports </s> to date there has been only one published case of p shigelloides causing spontaneous bacterial peritonitis sbp </s> we describe another patient with p shigelloides sbp and compare our findings with those from the original case </s>"
"16",26476279,0,"delayed deterioration in isolated traumatic subarachnoid hemorrhage </s> </s> background isolated traumatic subarachnoid hemorrhage sah in association with mild traumatic brain injury is considered to be a less severe finding that is not likely to require surgical intervention </s> no previous reports have described cases warranting craniotomy for isolated traumatic sah by itself </s> case description we report 2 cases of minor head trauma with isolated traumatic sah that showed delayed clinical deterioration requiring immediate surgical intervention </s> initial computed tomography showed isolated traumatic sah in the basal cistern and sylvian fissure in both cases </s> angiography showed no aneurysmal source </s> within 24 hours of each accident both disturbance of consciousness and hemiparesis deteriorated </s> follow up computed tomography showed formation of intracerebral hematoma adjacent to the sylvian fissure </s> intraoperative findings showed abruption injury of a perforating branch arising from the middle cerebral artery mca as the cause of bleeding </s> impact at the time of injury could have caused traction on the mca in the sylvian fissure resulting in abruption of the perforator </s> conclusions isolated traumatic sah seen in the basal cistern and sylvian fissure carries a risk of late deterioration </s> a possible cause of hematoma expansion is abruption of a perforating branch arising from the mca at the time of head injury </s> when hematoma expansion is identified surgical evacuation of the hematoma is indicated </s> surgical evacuation should be safely performed with the knowledge of the point of bleeding in such patients </s>"
"17",23164747,1,"vibrio cholerae non o1 and non o139 bacteremia in a non traveler portuguese cirrhotic patient first case report </s> </s> bacteremia due to vibrio cholerae non o1 and non o139 is a rare condition and potentially fatal </s> we report a case of bacteremia due to v cholerae non o1 and non o139 in a portuguese male with hepatitis c cirrhosis admitted due to acute diarrhea after consuming shrimp </s> he had no recent travels </s> to our knowledge this is the first reported case of bacteremia due to v cholerae non o1 and non o139 in portugal </s>"
"18",21677340,1,"course of a hbsag positive liver transplantation in a hepatitis b and d virus coinfected recipient </s> </s> the increasing demand for transplantation has led to consideration of liver grafts from donors exposed to hepatitis b virus hbv </s> six transplantations of liver grafts from hepatitis b surface antigen hbsag positive donors have been reported two recipients suffered from hbv hdv hepatitis delta virus coinfection and were followed up for 10 12 months </s> here we report a 56 months follow up of a hbv hdv coinfected recipient of a hbsag positive liver graft </s> posttransplant combination prophylaxis consisted of hepatitis immunoglobulin lamivudine and adefovir dipivoxil </s> hbsag remained positive during stable posttransplant follow up and subclinical hdv reinfection with low replication rate was detected at 1 month </s> pegylated interferon therapy was introduced after documentation of histological evidence of mild chronic hepatitis but without virological response after 48 weeks </s> finally antiviral treatment was switched to tenofovir disoproxil fumarate </s> more than 50 months posttransplant the recipient revealed clinical symptoms of decompensated liver cirrhosis and has been relisted for liver transplantation </s> in conclusion hbsag positive liver grafts in hbsag positive recipients with hdv coinfection may result in virological recurrence and rapid development of liver cirrhosis </s>"
"19",21629998,1,"management of complications after varicoportal anastomosis in liver transplantation </s> </s> the presence of portal vein thrombosis is a potential limitation for liver transplantation </s> an intraoperative diagnosis is linked to extensive surgical treatment and massive postoperative complications and mortality </s> we present a surgical less risky method for the treatment of intraoperatively diagnosed portal and mesenteric vein thrombosis that served as salvage therapy for a patient who underwent liver transplantation in our centre </s> postoperative complications were ascites and renal failure </s> persistent ascites required repeated paracentesis during the first month after liver transplantation but medical treatment sufficed thereafter </s> moderate renal failure as defined by the k doqi guidelines improved gradually and dialysis was never indicated </s> six months after transplantation the patient had normal liver function and adequate renal function </s>"
"20",25913474,0,"thrombocytopenia in acute coronary syndromes etiologies and proposed management </s> </s> thrombocytopenia in acute coronary syndromes acs can arise from a variety of etiologies </s> glycoprotein iib iiia receptor antagonists have improved clinical outcomes in acs however profound thrombocytopenia can occur with use of these agents </s> we present a case of profound thrombocytopenia due to administration of a glycoprotein iib iiia receptor antagonist eptifibatide after percutaneous coronary intervention for an inferior st elevation myocardial infarction </s> we review the major causes and suggest an approach for diagnosis and management of thrombocytopenia in acs </s>"
"21",25546186,0,"intrathoracic splenosis a rare false positive cause of somatostatin imaging in characterization of solitary pulmonary nodule </s> </s> scanning using a somatostatin receptor analog such as tc edda hynic toc has sensitivity and specificity similar to those of fdg pet which has high accuracy in the characterization of a solitary pulmonary nodule spn </s> we describe a 63 year old man with well defined spn in the left lung on chest x ray and ct scan </s> whole body scanning and chest spect were performed with tc edda hynic toc for the characterization of spn </s> abnormal focal increased radiotracer uptake in the left hemithorax was detected </s> in addition no spleen activity was observed in the anatomical location </s> cytopathologic evaluation of spn revealed splenosis </s>"
"22",25044498,0,"management of anomalous circumflex coronary artery from the neo pulmonary artery in an adolescent following neonatal arterial switch operation </s> </s> a 15 year old male with transposition of the great arteries presented with exertional chest pain </s> he was found to have a circumflex coronary artery from the neo pulmonary artery that had not been transferred during his arterial switch operation </s> the circumflex coronary artery fed through collaterals from a re implanted single coronary artery resulted in coronary steal </s> this report describes a management pathway to treat this rare anomaly </s>"
"23",25968418,0,"unilateral nipple eczema in children report of five cases and literature review </s> </s> bilateral nipple eczema on the background of atopy is not an uncommon problem and is a minor criterion in some diagnostic systems for atopic dermatitis ad but unilateral atopic nipple eczema is underrecognized and often causes clinical concern </s> we present the first case series of children with unilateral atopic nipple eczema and discuss the clinical aspects of this unusual distribution </s>"
"24",24953615,0,"a case of lipoma of parietal peritoneum causing abdominal pain </s> </s> lipomas are common benign tumors of mature adipose tissue enclosed by thin fibrous capsules </s> they can occur on any part of the body however peritoneal lipoma is extremely rare </s> we encountered a case of a 75 year old man presenting with intermittent abdominal pain who had undergone right hemicolectomy due to colon cancer </s> abdominal computerized tomography showed a well defined heterogenous fatty mass measuring x cm in size suggesting fat necrosis located in the abdominal wall </s> laparotomy showed a very large soft mass of peritoneum </s> pathologically the tumor was diagnosed as lipoma containing fat necrosis located in parietal peritoneum not fixed to any organs but with small bowel adhesion </s> due to its rare etiologic origin and obscure cause of development we report on a case of lipoma of parietal peritoneum causing abdominal pain </s>"
"25",25179972,0,"case report new treatment with tolvaptan for heart failure after cardiac surgery </s> </s> the vasopressin v2 receptor antagonist tolvaptan is a new diuretic that selectively promotes the excretion of water </s> it has been reported to be effective for patients in cardiology but there have been no reports of its use in the perioperative period after cardiac surgery </s> we report the usefulness of tolvaptan for postoperative fluid management in a patient with severe mitral regurgitation due to ischemic cardiomyopathy </s> marked improvement was achieved after administration of tolvaptan for heart failure in the postoperative period </s>"
"26",25657760,0,"isolated tubal torsion in the third trimester of pregnancy a case report and review of the literature </s> </s> isolated torsion of a fallopian tube in the third trimester of pregnancy is an uncommon event </s> its common symptoms are lower abdominal pain vomiting and nausea </s> because these symptoms are nonspecific isolated torsion of a fallopian tube may be misdiagnosed delaying treatment and the opportunity to preserve the tube </s> this is a case report of a primipara in her third trimester whowas misdiagnosed as having acute appendicitis and ovarian cyst torsion </s> the ultrasound assisted examination was useful but the specific diagnosis was made after laparotomy and histopathology </s> the patient was managed by simultaneous salpingectomy and cesarean section </s> this surgical intervention prevented adverse obstetric sequelae </s> we summarize our experience provide our conclusions and review 17 relevant studies from the literature to aid clinicians in understanding diagnosing and managing this condition in a timely fashion </s>"
"27",25434544,0,"chronic type a aortic dissection associated with turner syndrome report of a case </s> </s> aortic dissection is a critical but rare complication of turner syndrome </s> this report describes a case of chronic aortic dissection in a patient with turner syndrome </s> a 54 year old woman suffering from mild back pain for 1 month was referred to our hospital with a diagnosis of stanford type a chronic aortic dissection and a bicuspid aortic valve with moderate regurgitation </s> computed tomography revealed aortic dissection involving all arch branches extending from the ascending to the abdominal aorta </s> the true lumen of the brachial artery was nearly obstructed by the thrombosed false lumen </s> elective aortic arch repair and aortic valve replacement were successfully performed </s> the patient was diagnosed with 45 xo turner syndrome after surgery </s> taking aortopathy of turner syndrome into consideration surveillance of the residual aorta was performed </s> no rapidly progressive dilatation of the residual aorta was detected during the 6 years follow up </s>"
"28",25418869,0,"post renal transplant erythrocytosis a case report </s> </s> pte is defined as hematocrit gt 51 or hemoglobin gt 17 g dl after renal transplantation </s> risk factors include native kidneys with adequate erythropoiesis pretransplant smoking renal artery stenosis and cyclosporine treatment </s> we report the case of a 14 yr old female kidney transplant patient with triple therapy immunosuppression and stable graft function who developed pte at 12 months post transplant with hemoglobin 1 g dl hematocrit 5 stable graft function and normotensive with normal cardiac echocardiogram and erythropoietin levels </s> the only risk factor found was tobacco use </s> as she had no spontaneous improvement enalapril treatment was started at 19 months post transplant with a hemoglobin level of 1 g dl and hematocrit 53 by 23 months post transplant hemoglobin lowered to 15 g dl and hematocrit to 4 and continued to be in normal range thereafter </s> pte is a rare condition in childhood and can be successfully treated with enalapril </s>"
"29",24842303,1,"prevalence of celiac disease in cirrhosis and outcome of cirrhosis on a gluten free diet a prospective study </s> </s> background amp aims current consensus suggests cd to be a multi systemic disease that could affect any organ system including the liver </s> it remains under diagnosed in the us and its prevalence and management in cirrhotic patients has not been studied </s> our aim was 1 to estimate the prevalence of cd in cirrhosis 2 to characterize cirrhotic patients with abnormal celiac serology and normal small bowel biopsy and 3 to evaluate the effect of a gfd on the liver </s> methods a total of 204 consecutive patients with biopsy proven cirrhosis scheduled for an upper endoscopy egd to assess and treat gastro esophageal varices gev at the cleveland clinic between 5 1 2008 and 5 30 2010 were enrolled in the study and followed for 2 years </s> results cd affects of cirrhotic patients and more than twice the prevalence in the general population </s> abnormal ema gt 1 10 and high httg levels gt 20 iu can be used to diagnose cd in cirrhosis </s> sensitivities and specificities are 100 for ema and 80 and 94 for httg respectively </s> after a gfd patients with cd showed a return to normal levels of their celiac serology small bowel biopsy and liver enzyme abnormalities </s> conclusions cd is at least twice more common in cirrhotic patients than in the general population and gfd improves liver tests </s> cd can occur coincidentally with other liver disorders and screening may be warranted during the evaluation of patients with cirrhosis </s> abnormal ema and high httg levels can be used to diagnose cd in cirrhosis </s>"
"30",23161309,1,"cyclosporine rescue therapy in autoimmune liver cirrhosis a case report </s> </s> autoimmune hepatitis is an inflammatory condition of the liver that can lead to significant morbidity and mortality </s> corticosteroids with or without azathioprine have been shown to improve outcome and are the current standard of care in autoimmune hepatitis patients </s> however long term use of corticosteroids and use of azathioprine could be associated with significant adverse effects that prevent their continued use at optimal dosages or may even require complete cessation </s> we present a patient with autoimmune liver cirrhosis who was intolerant of corticosteroid and azathioprine who was successfully treated with cyclosporine </s> to our knowledge cyclosporine use has not been reported previously in autoimmune cirrhosis although it has been used in autoimmune hepatitis patients with reported success and good tolerability </s> we conclude that cyclosporine seems to be an effective alternative to azathioprine as a steroid sparing agent in both non cirrhotic and cirrhotic autoimmune hepatitis </s>"
"31",26623231,0,"management of ruptured and rapidly progressive mycotic cerebral aneurysms in the setting of unilateral carotid occlusion and endocarditis with valve failure </s> </s> mycotic cerebral aneurysms can present unique neurosurgical challenges </s> we report a patient with left carotid occlusions a ruptured left middle cerebral artery mycotic aneurysm and a rapidly appearing unruptured left anterior cerebral artery anterior communicating artery aca acom mycotic aneurysm in the setting of mitral valve endocarditis with a perivalvular leak and evolving congestive heart failure </s> following medical stabilization and antibiotic administration a combined endovascular with contralateral access via the acom and open surgical approach was used to selectively secure both aneurysms with preservation of distal flow allowing lifesaving cardiac valve replacement </s> this case illustrates the therapeutic complexity of mycotic cerebral aneurysms which we discuss in the context of an increasing reliance on endovascular approaches </s>"
"32",26167372,0,"cerebral aneurysms associated with segmental dilative arteriopathy of the circle of willis </s> </s> background dilative arteriopathy is a form of dolichoectasia </s> it is sometimes observed in the posterior circulation and it may be associated with various type of stroke </s> herein we report two unusual cases of saccular aneurysms associated with a segmental dilative arteriopathy located in the anterior circulation </s> case descriptions the first case is a 39 year old woman with irregular tortuosity and coiling of the left internal cerebral artery along with saccular aneurysms in this artery </s> the second case is a 45 year old woman presenting with a ruptured saccular aneurysm in the coiling of the anterior cerebral artery </s> in both cases the aneurysm was clipped successfully and the patients recovered uneventfully with no neurological deficits </s> conclusion dilative arteriopathy of the circle of willis is an unusual anomaly and is characterized by tortuous and elongated arteries which are sometimes observed in patients with a congenital anomaly </s> this report describes two cases of saccular aneurysm associated with dilative arteriopathy of the circle of willis with no medical history which to the best of our knowledge has not previously been described </s>"
"33",26352570,0,"small incision lenticule extraction after deep anterior lamellar keratoplasty </s> </s> purpose femtosecond laser assisted small incision lenticule extraction smile was performed to correct myopic astigmatism in a 39 year old patient who had previously undergone deep anterior lamellar keratoplasty dalk for keratoconus with clinically significant anisometropia and contact lens intolerance </s> methods case report </s> results smile was planned in the right eye to reduce the refractive error and to allow spectacle correction </s> the surgical procedure was centered on the visual axis a 0 mm optical zone was used and the refractive lenticule was extracted through a 5 mm incision located inside the graft edge </s> the refractive target was achieved 1 week after surgery and remained stable until the 3 month follow up visit while the corrected distance visual acuity improved from 20 100 to 20 40 </s> complications were not observed and the graft remained clear </s> in vivo confocal microscopy and anterior segment optical coherence tomography highlighted a regular wound healing and refractive interface profile </s> conclusions this case report highlights the feasibility of using smile as an alternative procedure for correcting refractive errors after keratoplasty but further prospective studies are needed to prove the long term refractive outcomes and safety of this technique </s>"
"34",25109584,0,"rare mandibular surgical ciliated cysts report of two new cases </s> </s> the surgical ciliated cyst also known as the quot postoperative maxillary cyst quot or quot implantation cyst quot occurs as a result of iatrogenic implantation of respiratory epithelium into a noncontiguous surgical site after sinus surgery </s> it typically presents as a well defined radiolucency in the maxilla in young adults </s> histopathologically the cyst is lined by ciliated columnar cuboidal or pseudostratified squamous epithelium with mucous cells </s> we report two rare cases of a surgical ciliated cyst located in the mandible </s>"
"35",25070399,1,"a staged approach for a lung liver transplant patient using ex vivo reconditioned lungs first followed by an urgent liver transplantation </s> </s> combined lung liver transplantation is a logistically challenging procedure hampered by shortage of organ donors </s> we describe the case of a young patient with end stage lung disease due to of cystic fibrosis and liver cirrhosis who needed combined lung liver transplantation </s> the long waiting for this caused an interesting clinical dilemma </s> we decided to change our policy in this situation by listing him only for the lung transplantation and to apply for a high urgent liver transplantation if the liver failed after the lung transplantation </s> this strategy enabled us to use lungs treated with ex vivo lung perfusion evlp from an unsuitable donor after circulatory death </s> after conditioning for 4 h via evlp the po2 was 5 kpa </s> the lungs were transplanted successfully </s> he developed an acute on chronic liver failure for which he received a successful liver transplantation 19 days after the lung transplantation </s>"
"36",25083310,0,"common hepatic duct stricture are lithiasis and negative brush cytology enough to rule out klatskin tumor </s> in this case report the experience of treating a patient with clinical suspicion of hilar cholangiocarcinoma is shared and key points in differentiating from coexistent lithiasis are discussed </s>"
"37",24976091,0,"double balloon remodeling for coil embolization of a primitive trigeminal artery variant aneurysm </s> a case report </s> </s> here we describe the case of a patient with a wide necked unruptured aneurysm arising at origin of a persistent primitive trigeminal artery pta variant from the right internal carotid artery ica supplying the territory of the right superior cerebellar artery and the anterior inferior cerebellar artery </s> to preserve the ica and the pta variant coil embolization of the aneurysm was performed using a double balloon remodeling technique hyperform™ and hyperglide™ occlusion balloon systems ev3 endovascular inc </s> irvine ca usa </s> the association of a pta variant with an aneurysm is very rare </s> to our knowledge this is the first description of the use of coil embolization using double balloon remodeling to treat a pta variant aneurysm </s> this technique permits complete embolization and reduces the risk of cerebral and cerebellar ischemia </s>"
